TEAMNAME,TEAM,LAT,LON,START,END
Dallas Mavericks,DAL,32.790556,-96.810278,,
Orlando Magic,ORL,28.539167,-81.383611,,
San Antonio Spurs,SAS,29.426944,-98.4375,,
Denver Nuggets,DEN,39.74892,-105.0084,,
New Jersey Nets,NJN,40.81167,-74.0675,,2012
Brooklyn Nets,BKN,40.682661,-73.975225,2012,
Chicago Packers,CHP,41.816111,-87.646111,1961,1962
Chicago Zephyrs,CHZ,41.86234,-87.62606,1962,1963
Baltimore Bullets,BLB,39.313333,-76.647778,1963,1973
Baltimore Bullets,BAL,39.313333,-76.647778,1963,1973
Capitol Bullets,CAP,38.8982,-77.0209,1973,1974
Washington Bullets,WSB,38.8982,-77.0209,1974,1997
Washington Wizards,WAS,38.8982,-77.0209,1997,
Philadelphia Warriors,PHW,39.947368,-75.195043,,1962
San Francisco Warriors,SFW,37.778457,-122.417369,1962,1971
Golden State Warriors,GSW,37.7503,-122.203,1971,2019
Golden State Warriors,GSW,37.768,-122.387,2019,
Buffalo Braves,BUF,42.878056,-78.8775,,1978
San Diego Clippers,SDC,32.77375,-117.07458,1978,1984
Los Angeles Clippers,LAC,34.043056,-118.267222,1984,2024
Los Angeles Clippers,LAC,33.9451,-118.3431,2024,
Minneapolis Lakers,MNL,44.969,-93.274,,1960
Los Angeles Lakers,LAL,34.043056,-118.267222,1960,
Vancouver Grizzlies,VAN,49.27778,-123.10889,,2001
Memphis Grizzlies,MEM,35.138333,-90.050556,2001,
Milwaukee Bucks,MIL,43.045028,-87.918167,,
Phoenix Suns,PHO,33.445833,-112.071389,,
Phoenix Suns,PHX,33.445833,-112.071389,,
Miami Heat,MIA,25.781389,-80.188056,,
Indiana Pacers,IND,39.763889,-86.155556,,
Fort Wayne Pistons,FTW,41.11552,-85.12425,,1957
Detroit Pistons,DET,42.6969,-83.24555,1957,2017
Detroit Pistons,DET,42.341111,-83.055,2017,
New York Knicks,NYK,40.750556,-73.993611,,
Portland Trail Blazers,POR,45.531667,-122.666667,,
Oklahoma City Thunder,OKC,35.463333,-97.515,,
Cleveland Cavaliers,CLE,41.496389,-81.688056,,
Toronto Raptors,TOR,43.643333,-79.379167,,
New Orleans Jazz,NOJ,29.95083,-90.08111,,1979
New Orleans Pelicans,NOP,29.948889,-90.081944,1979,
Charlotte Hornets,CHA,35.225,-80.839167,,
Milwaukee Hawks,MLH,43.04222,-87.91694,,1955
St. Louis Hawks,STL,38.627972,-90.201782,1955,1968
Atlanta Hawks,ATL,33.757222,-84.396389,,
Minnesota Timberwolves,MIN,44.9795,-93.2761,,
Boston Celtics,BOS,42.366303,-71.062228,,
San Diego Rockets,SDR,32.755278,-117.212222,,1971
Houston Rockets,HOU,29.750833,-95.362222,1971,
Chicago Bulls,CHI,41.880556,-87.674167,,
Utah Jazz,UTA,40.768333,-111.901111,,
Syracuse Nationals,SYR,43.044722,-76.148333,,1963
Philadelphia 76ers,PHI,39.901111,-75.171944,1963,
Seattle Supersonics,SEA,47.622,-122.354,,
Rochester Royals,ROC,43.17215,-77.63466,,1957
Cincinnati Royals,CIN,39.1811,-84.4553,1957,1972
Kansas City-Omaha Kings,KCO,41.2613,-95.93979,1972,1975
Kansas City Kings,KCK,39.091944,-94.605833,1975,1985
Sacramento Kings,SAC,38.580361,-121.499611,1985,